step,action,eef_pos,target_pos,obstacle_pos,target_half_size,obstacle_half_size,good
28,"[ 0.46071429 -0.15892857  0.01142586  0.          0.          0.
 -1.        ]",[-0.04442782 -0.01912263  1.00720392],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
29,"[ 0.45535714 -0.15714286  0.01151986  0.          0.          0.
 -1.        ]",[-0.03856799 -0.02071426  1.00719455],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
30,"[ 0.45178571 -0.14464286  0.01154798  0.          0.          0.
 -1.        ]",[-0.03275093 -0.02232799  1.00720253],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
31,"[ 0.44642857 -0.14464286  0.01152401  0.          0.          0.
 -1.        ]",[-0.02698271 -0.02397714  1.0072219 ],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
32,"[ 0.42678571 -0.17321429  0.01146591  0.          0.          0.
 -1.        ]",[-0.02134668 -0.02583766  1.00726161],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
33,"[ 0.35535714 -0.18571429  0.01134678  0.          0.          0.
 -1.        ]",[-0.01616604 -0.02792566  1.00738363],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
34,"[ 0.34285714 -0.19285714  0.01098074  0.          0.          0.
 -1.        ]",[-0.01132972 -0.03016991  1.00763143],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
35,"[ 0.35178571 -0.1875      0.01023734  0.          0.          0.
 -1.        ]",[-0.00656305 -0.03247516  1.00789865],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
36,"[ 0.36785714 -0.1875      0.00943568  0.          0.          0.
 -1.        ]",[-0.00174829 -0.03481007  1.00809985],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
37,"[ 0.36071429 -0.19464286  0.00883207  0.          0.          0.
 -1.        ]",[ 0.00302907 -0.03721287  1.00822019],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
38,"[ 0.23035714 -0.20535714  0.00847103  0.          0.          0.
 -1.        ]",[ 0.00706744 -0.03972692  1.00840406],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
39,"[ 0.19821429 -0.21785714  0.00791942  0.          0.          0.
 -1.        ]",[ 0.01044929 -0.04238368  1.00881084],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
40,"[ 0.19821429 -0.22142857  0.00669909  0.          0.          0.
 -1.        ]",[ 0.01359947 -0.04513856  1.00928662],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
41,"[ 0.18392857 -0.22678571  0.00527176  0.          0.          0.
 -1.        ]",[ 0.01656019 -0.04796394  1.00971641],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
42,"[ 0.14821429 -0.21785714  0.00398238  0.          0.          0.
 -1.        ]",[ 0.01918401 -0.05078575  1.01010925],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
43,"[ 0.12321429 -0.23214286  0.00280387  0.          0.          0.
 -1.        ]",[ 0.02145162 -0.05367269  1.01050028],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
44,"[ 0.12142857 -0.23035714  0.00163076  0.          0.          0.
 -1.        ]",[ 0.02350627 -0.05661252  1.01086104],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
45,"[ 8.75000000e-02 -2.21428571e-01  5.48497458e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[ 0.02526254 -0.05951489  1.01117263],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
46,"[ 7.14285714e-02 -2.19642857e-01 -3.86266242e-04  0.00000000e+00
  0.00000000e+00  0.00000000e+00 -1.00000000e+00]",[ 0.02671855 -0.06238357  1.01147124],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
47,"[ 0.05357143 -0.225      -0.0012821   0.          0.          0.
 -1.        ]",[ 0.02791622 -0.065271    1.01174368],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
48,"[ 0.02142857 -0.23392857 -0.00209943  0.          0.          0.
 -1.        ]",[ 0.02878336 -0.0682225   1.01200001],"[-0.07215588  0.13467947  0.852       0.          0.          0.
  1.        ]","[-0.05074928  0.1451219   0.971       0.          0.          0.
  1.        ]","(0.05, 0.05, 0.001)","(0.025, 0.025, 0.12)",True
