step,action,eef_pos,good,target_pos,in_target
127,[ 0.  0.  0. -1.],[-0.1598737  -0.13326822],False,[-0.1421367  -0.23584676],False
128,[ 0.  0.  0. -1.],[-0.15986489 -0.13328225],False,[-0.1421367  -0.23584676],False
129,[ 0.  0.  0. -1.],[-0.15985858 -0.13328762],False,[-0.1421367  -0.23584676],False
130,[ 0.  0.  0. -1.],[-0.15985484 -0.13328971],False,[-0.1421367  -0.23584676],False
131,[ 0.  0.  0. -1.],[-0.1598531  -0.13329106],False,[-0.1421367  -0.23584676],False
132,[ 0.  0.  0. -1.],[-0.15985277 -0.1332932 ],False,[-0.1421367  -0.23584676],False
133,[ 0.  0.  0. -1.],[-0.15985365 -0.13329685],False,[-0.1421367  -0.23584676],False
134,[ 0.  0.  0. -1.],[-0.15985554 -0.1333023 ],False,[-0.1421367  -0.23584676],False
135,[ 0.  0.  0. -1.],[-0.15985811 -0.13330939],False,[-0.1421367  -0.23584676],False
136,[ 0.  0.  0. -1.],[-0.1598606 -0.1333167],False,[-0.1421367  -0.23584676],False
137,[ 0.  0.  0. -1.],[-0.1598629  -0.13332353],False,[-0.1421367  -0.23584676],False
138,[ 0.  0.  0. -1.],[-0.15986515 -0.13332973],False,[-0.1421367  -0.23584676],False
139,[ 0.  0.  0. -1.],[-0.15986735 -0.13333534],False,[-0.1421367  -0.23584676],False
140,[ 0.  0.  0. -1.],[-0.15986949 -0.1333404 ],False,[-0.1421367  -0.23584676],False
141,[ 0.  0.  0. -1.],[-0.15987152 -0.13334499],False,[-0.1421367  -0.23584676],False
142,[ 0.  0.  0. -1.],[-0.15987342 -0.13334915],False,[-0.1421367  -0.23584676],False
143,[ 0.  0.  0. -1.],[-0.15987519 -0.13335293],False,[-0.1421367  -0.23584676],False
144,[ 0.  0.  0. -1.],[-0.15987675 -0.1333564 ],False,[-0.1421367  -0.23584676],False
145,[ 0.  0.  0. -1.],[-0.15987802 -0.13335964],False,[-0.1421367  -0.23584676],False
146,[ 0.  0.  0. -1.],[-0.15987904 -0.13336267],False,[-0.1421367  -0.23584676],False
147,[ 0.  0.  0. -1.],[-0.15987981 -0.13336549],False,[-0.1421367  -0.23584676],False
148,[ 0.  0.  0. -1.],[-0.15988038 -0.13336812],False,[-0.1421367  -0.23584676],False
149,[ 0.  0.  0. -1.],[-0.15988075 -0.13337058],False,[-0.1421367  -0.23584676],False
150,[ 0.  0.  0. -1.],[-0.15988096 -0.13337287],False,[-0.1421367  -0.23584676],False
151,[ 0.  0.  0. -1.],[-0.15988101 -0.13337501],False,[-0.1421367  -0.23584676],False
152,[ 0.  0.  0. -1.],[-0.15988092 -0.13337701],False,[-0.1421367  -0.23584676],False
153,[ 0.  0.  0. -1.],[-0.15988071 -0.13337889],False,[-0.1421367  -0.23584676],False
154,[ 0.  0.  0. -1.],[-0.15988039 -0.13338064],False,[-0.1421367  -0.23584676],False
155,[ 0.  0.  0. -1.],[-0.15987998 -0.13338228],False,[-0.1421367  -0.23584676],False
156,[ 0.  0.  0. -1.],[-0.15987947 -0.13338382],False,[-0.1421367  -0.23584676],False
157,[ 0.  0.  0. -1.],[-0.15987889 -0.13338526],False,[-0.1421367  -0.23584676],False
158,[ 0.05194787 -0.3         0.         -1.        ],[-0.15962496 -0.13504815],True,[-0.1421367  -0.23584676],False
159,[ 0.05194787 -0.3         0.         -1.        ],[-0.15919675 -0.13803724],True,[-0.1421367  -0.23584676],False
160,[ 0.05194787 -0.3         0.         -1.        ],[-0.15870795 -0.14135215],True,[-0.1421367  -0.23584676],False
161,[ 0.05194787 -0.3         0.         -1.        ],[-0.15817171 -0.1448466 ],True,[-0.1421367  -0.23584676],False
162,[ 0.05194787 -0.3         0.         -1.        ],[-0.1575968  -0.14847513],True,[-0.1421367  -0.23584676],False
163,[ 0.05194787 -0.3         0.         -1.        ],[-0.15699593 -0.15220529],True,[-0.1421367  -0.23584676],False
164,[ 0.05194787 -0.3         0.         -1.        ],[-0.15638132 -0.15600896],True,[-0.1421367  -0.23584676],False
165,[ 0.05194787 -0.3         0.         -1.        ],[-0.15576255 -0.15986241],True,[-0.1421367  -0.23584676],False
166,[ 0.05194787 -0.3         0.         -1.        ],[-0.15514596 -0.16374667],True,[-0.1421367  -0.23584676],False
167,[ 0.05194787 -0.3         0.         -1.        ],[-0.15453505 -0.16764744],True,[-0.1421367  -0.23584676],False
168,[ 0.05194787 -0.3         0.         -1.        ],[-0.15393108 -0.17155464],True,[-0.1421367  -0.23584676],False
