step,action,eef_pos,obj_pos,eef_abstract_state,obj_abstract_state,grid_half_size
43,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16278071  0.00214752  0.98789277 -1.        ],[-1.66666813e-01 -4.40171228e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
44,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16274852  0.00225908  0.98593893 -1.        ],[-1.66666817e-01 -4.50259711e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
45,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16271659  0.0023588   0.98398479 -1.        ],[-1.66666820e-01 -4.60348193e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
46,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16268601  0.00244506  0.98202981 -1.        ],[-1.66666823e-01 -4.70436676e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
47,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16265774  0.0025173   0.98007352 -1.        ],[-1.66666827e-01 -4.80525159e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
48,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16263262  0.00257544  0.97811547 -1.        ],[-1.66666830e-01 -4.90613642e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
49,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16261117  0.00262002  0.97615537 -1.        ],[-1.66666834e-01 -5.00702125e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
50,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16259336  0.00265175  0.97419316 -1.        ],[-1.66666837e-01 -5.10790607e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
51,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16257891  0.00267102  0.97222893 -1.        ],[-1.66666840e-01 -5.20879090e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
52,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16256746  0.00267801  0.97026289 -1.        ],[-1.66666844e-01 -5.30967573e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
53,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16255854  0.00267307  0.96829527 -1.        ],[-1.66666847e-01 -5.41056056e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
54,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16255181  0.0026577   0.96632631 -1.        ],[-1.66666850e-01 -5.51144539e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
55,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16254708  0.00263349  0.96435618 -1.        ],[-1.66666854e-01 -5.61233021e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
56,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16254409  0.00260187  0.96238505 -1.        ],[-1.66666857e-01 -5.71321504e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
57,[ 0.    0.   -0.15  0.    0.    0.   -1.  ],[-0.16254254  0.00256429  0.96041309 -1.        ],[-1.66666860e-01 -5.81409987e-07  9.24784489e-01],1,1,[0.25 0.25 0.05]
