step,action,eef_pos,drawer_pos 
109,[0 0 0 0 0 0 1],[-0.13919788 -0.12796605  1.02366009  1.        ],-0.144966046781964
110,[0 0 0 0 0 0 1],[-0.139202   -0.12783219  1.02365941  1.        ],-0.1448321929519064
111,[0 0 0 0 0 0 1],[-0.13920762 -0.1276455   1.02365787  1.        ],-0.14464550339617055
112,[0 0 0 0 0 0 1],[-0.13921416 -0.1274235   1.02365561  1.        ],-0.14442349694689305
113,[0 0 0 0 0 0 1],[-0.1392211  -0.1271828   1.02365279  1.        ],-0.14418280115325782
114,[0 0 0 0 0 0 1],[-0.13922791 -0.12693821  1.02364963  1.        ],-0.1439382149925928
115,[0 0 0 0 0 0 1],[-0.13923428 -0.12670125  1.02364632  1.        ],-0.14370125445560822
116,[0 0 0 0 0 0 1],[-0.13924    -0.1264809   1.02364304  1.        ],-0.14348089603820097
117,[0 0 0 0 0 0 1],[-0.13924491 -0.12628393  1.02363995  1.        ],-0.14328392717607463
118,[0 0 0 0 0 0 1],[-0.1392486  -0.12611008  1.02363741  1.        ],-0.14311008240962114
119,[0 0 0 0 0 0 1],[-0.13925089 -0.1259554   1.02363559  1.        ],-0.14295539562294246
120,[0 0 0 0 0 0 1],[-0.13925212 -0.12581982  1.02363438  1.        ],-0.14281982165374707
121,[0 0 0 0 0 0 1],[-0.13925296 -0.12570102  1.0236334   1.        ],-0.1427010232553364
122,[0 0 0 0 0 0 1],[-0.13925379 -0.1255987   1.02363243  1.        ],-0.1425986992173061
123,[0 0 0 0 0 0 1],[-0.13925462 -0.12551394  1.0236315   1.        ],-0.1425139407953651
124,[0 0 0 0 0 0 1],[-0.13925541 -0.12545571  1.02363065  1.        ],-0.14245571283154995
125,[0 0 0 0 0 0 1],[-0.13925615 -0.12541338  1.02362984  1.        ],-0.14241338071139037
126,[0 0 0 0 0 0 1],[-0.13925683 -0.1253796   1.02362906  1.        ],-0.1423795954806253
127,[0 0 0 0 0 0 1],[-0.13925746 -0.12535227  1.02362833  1.        ],-0.14235227097308517
128,[0 0 0 0 0 0 1],[-0.13925805 -0.12533039  1.02362762  1.        ],-0.14233039459082952
129,[0 0 0 0 0 0 1],[-0.1392586  -0.12531218  1.02362695  1.        ],-0.14231218085050562
130,[0 0 0 0 0 0 1],[-0.1392591  -0.12529646  1.0236263   1.        ],-0.14229646117495715
131,[0 0 0 0 0 0 1],[-0.13925958 -0.12528287  1.02362568  1.        ],-0.14228287338532064
132,[0 0 0 0 0 0 1],[-0.13926002 -0.12527111  1.02362508  1.        ],-0.14227110742810284
133,[0 0 0 0 0 0 1],[-0.13926043 -0.1252609   1.02362451  1.        ],-0.14226090312095707
134,[0 0 0 0 0 0 1],[-0.13926082 -0.12525204  1.02362395  1.        ],-0.14225204330610552
135,[0 0 0 0 0 0 1],[-0.13926118 -0.12524435  1.02362341  1.        ],-0.14224434573843436
136,[0 0 0 0 0 0 1],[-0.13926152 -0.12523765  1.0236229   1.        ],-0.14223765368587987
137,[0 0 0 0 0 0 1],[-0.13926184 -0.12523174  1.0236224   1.        ],-0.14223174107212216
138,[0 0 0 0 0 0 1],[-0.13926214 -0.12522637  1.02362193  1.        ],-0.14222637171607538
139,[0 0 0 0 0 0 1],[-0.13926243 -0.12522145  1.02362149  1.        ],-0.14222145422318272
140,[0 0 0 0 0 0 1],[-0.13926271 -0.12521684  1.02362106  1.        ],-0.14221684000901869
141,[0 0 0 0 0 0 1],[-0.13926297 -0.12521246  1.02362066  1.        ],-0.1422124603976217
142,[0 0 0 0 0 0 1],[-0.13926323 -0.1252083   1.02362028  1.        ],-0.14220830002402024
143,[0 0 0 0 0 0 1],[-0.13926348 -0.12520435  1.02361991  1.        ],-0.14220434776191132
144,[0 0 0 0 0 0 1],[-0.13926371 -0.12520059  1.02361956  1.        ],-0.1422005932164413
145,[0 0 0 0 0 0 1],[-0.13926394 -0.12519703  1.02361922  1.        ],-0.14219702651921357
146,[0 0 0 0 0 0 1],[-0.13926415 -0.12519364  1.02361891  1.        ],-0.14219363829217185
147,[0 0 0 0 0 0 1],[-0.13926436 -0.12519042  1.0236186   1.        ],-0.1421904196224671
148,[0 0 0 0 0 0 1],[-0.13926456 -0.12518736  1.02361831  1.        ],-0.14218736203917787
149,[0 0 0 0 0 0 1],[-0.13926475 -0.12518446  1.02361804  1.        ],-0.14218445749125502
150,[0 0 0 0 0 0 1],[-0.13926493 -0.1251817   1.02361778  1.        ],-0.14218169832659766
151,[0 0 0 0 0 0 1],[-0.1392651  -0.12517908  1.02361752  1.        ],-0.14217907727219525
152,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13928515 -0.12400781  1.02361388  1.        ],-0.14100780631404017
153,[0.  0.3 0.  0.  0.  0.  1. ],[-0.1393052  -0.12213781  1.02361405  1.        ],-0.13913781013379622
154,[0.  0.3 0.  0.  0.  0.  1. ],[-0.1393152  -0.12016424  1.02361424  1.        ],-0.1371642364415157
155,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13932249 -0.11811669  1.02361492  1.        ],-0.135116693395732
156,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13932907 -0.11599437  1.02361553  1.        ],-0.13299437179581433
157,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13933531 -0.11378662  1.02361588  1.        ],-0.13078661616937262
158,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13934096 -0.11150764  1.0236161   1.        ],-0.12850763648376118
159,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13934605 -0.10915902  1.02361619  1.        ],-0.12615902035149906
160,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13935062 -0.10674077  1.02361619  1.        ],-0.12374077374849442
161,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13935474 -0.10425422  1.02361612  1.        ],-0.12125422320292531
162,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13935846 -0.10170241  1.02361601  1.        ],-0.1187024081116082
163,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13936187 -0.09908993  1.02361586  1.        ],-0.1160899336286759
164,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13936504 -0.09642261  1.02361571  1.        ],-0.11342260796962357
165,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13936804 -0.09370708  1.02361555  1.        ],-0.11070708443757936
166,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13937092 -0.09095046  1.02361542  1.        ],-0.10795045966964026
167,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13937373 -0.08815991  1.0236153   1.        ],-0.1051599074612715
168,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13937652 -0.08534237  1.02361522  1.        ],-0.102342370961341
169,[0.  0.3 0.  0.  0.  0.  1. ],[-0.1393793  -0.08250432  1.02361517  1.        ],-0.09950431654920738
170,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13938211 -0.07965157  1.02361516  1.        ],-0.09665156817792692
171,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13938494 -0.07678919  1.02361519  1.        ],-0.09378919451852673
172,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13938782 -0.07392144  1.02361524  1.        ],-0.09092144205110185
173,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13939073 -0.07105174  1.02361533  1.        ],-0.08805174169432062
174,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13939368 -0.06818273  1.02361543  1.        ],-0.0851827346990463
175,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13939666 -0.06531641  1.02361554  1.        ],-0.08231640557706246
176,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13939965 -0.06245412  1.02361567  1.        ],-0.07945411912101202
177,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13940264 -0.05959667  1.0236158   1.        ],-0.07659667476669456
178,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13940562 -0.05674441  1.02361594  1.        ],-0.07374440999079367
179,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13940857 -0.0538973   1.02361609  1.        ],-0.07089729897151775
180,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13941148 -0.05105504  1.02361623  1.        ],-0.06805504086494713
181,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13941436 -0.04821714  1.02361636  1.        ],-0.06521713833616825
182,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13941719 -0.04538297  1.02361649  1.        ],-0.06238296544352105
183,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13941997 -0.04255182  1.02361661  1.        ],-0.05955182440441314
184,[0.  0.3 0.  0.  0.  0.  1. ],[-0.1394227  -0.03972299  1.02361671  1.        ],-0.05672299138004705
185,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13942539 -0.03689575  1.0236168   1.        ],-0.05389575192766204
186,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13942802 -0.03406943  1.02361687  1.        ],-0.05106942711838541
187,[0.  0.3 0.  0.  0.  0.  1. ],[-0.1394306  -0.03124339  1.02361692  1.        ],-0.04824339152200186
188,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13943314 -0.02841708  1.02361695  1.        ],-0.045417084344636795
189,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13943564 -0.02559001  1.02361696  1.        ],-0.042590014998736166
190,[0.  0.3 0.  0.  0.  0.  1. ],[-0.1394381  -0.02276176  1.02361694  1.        ],-0.03976176431298315
191,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13944052 -0.01993198  1.02361691  1.        ],-0.03693198247549178
192,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13944291 -0.01710038  1.02361685  1.        ],-0.03410038466341421
193,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13944526 -0.01426675  1.02361677  1.        ],-0.031266745162791806
194,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13944759 -0.01143088  1.02361666  1.        ],-0.028430882295593304
195,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13944994 -0.00859256  1.02361652  1.        ],-0.025592563381855525
196,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13945234 -0.00575177  1.02361634  1.        ],-0.02275176595902087
197,[0.  0.3 0.  0.  0.  0.  1. ],[-0.1394548  -0.00290864  1.02361611  1.        ],-0.019908638979918243
198,[0.  0.3 0.  0.  0.  0.  1. ],[-1.39457499e-01 -6.30455952e-05  1.02361609e+00  1.00000000e+00],-0.017063045595196336
199,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13946038  0.00278459  1.02361613  1.        ],-0.01421540580047998
200,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13946332  0.00563359  1.02361612  1.        ],-0.011366410803339451
201,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13946632  0.00848371  1.02361607  1.        ],-0.00851628622937457
202,[0.  0.3 0.  0.  0.  0.  1. ],[-0.1394694   0.01133481  1.02361597  1.        ],-0.005665186677126038
203,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13947254  0.01418674  1.02361583  1.        ],-0.0028132581528575312
204,[0 0 0 0 0 0 1],[-0.13946321  0.01580669  1.02361451  1.        ],-0.00119331197828626
205,[0 0 0 0 0 0 1],[-0.13945554  0.01616848  1.02359279  1.        ],-0.0008315175632572468
206,[0 0 0 0 0 0 1],[-0.13944927  0.01640852  1.02357599  1.        ],-0.0005914763006341466
207,[0 0 0 0 0 0 1],[-0.13944622  0.01657463  1.02356527  1.        ],-0.000425371631043954
208,[0 0 0 0 0 0 1],[-0.1394457   0.01664807  1.02356085  1.        ],-0.00035192575292819495
209,[0 0 0 0 0 0 1],[-0.13944575  0.0166605   1.02355981  1.        ],-0.00033949527750382763
210,[0 0 0 0 0 0 1],[-0.1394458   0.01664383  1.02356032  1.        ],-0.00035617477479922555
211,[0 0 0 0 0 0 1],[-0.13944589  0.01660467  1.02356204  1.        ],-0.0003953311762835976
212,[0 0 0 0 0 0 1],[-0.13944553  0.01652446  1.02356502  1.        ],-0.00047553778317342005
213,[0 0 0 0 0 0 1],[-0.1394439   0.01637229  1.02356951  1.        ],-0.0006277076888621183
214,[0 0 0 0 0 0 1],[-0.13944114  0.01616078  1.02357504  1.        ],-0.000839221431234799
215,[0 0 0 0 0 0 1],[-0.13943746  0.01590839  1.02358112  1.        ],-0.0010916062614615765
216,[0 0 0 0 0 0 1],[-0.13943307  0.01563203  1.02358733  1.        ],-0.001367967702350488
217,[0 0 0 0 0 0 1],[-0.13942817  0.01534649  1.02359336  1.        ],-0.0016535102737935368
218,[0 0 0 0 0 0 1],[-0.139423    0.01506435  1.02359899  1.        ],-0.001935648745577008
219,[0 0 0 0 0 0 1],[-0.13941778  0.01479597  1.02360406  1.        ],-0.0022040324743936683
220,[0 0 0 0 0 0 1],[-0.13941271  0.01454946  1.02360849  1.        ],-0.0024505371363003348
221,[0 0 0 0 0 0 1],[-0.13940799  0.01433013  1.02361223  1.        ],-0.0026698656733077798
222,[0 0 0 0 0 0 1],[-0.13940418  0.01413534  1.02361501  1.        ],-0.0028646589372685865
223,[0 0 0 0 0 0 1],[-0.13940154  0.01396007  1.02361677  1.        ],-0.0030399284848579705
224,[0 0 0 0 0 0 1],[-0.1393999   0.0138042   1.02361773  1.        ],-0.003195795215498908
225,[0 0 0 0 0 0 1],[-0.13939871  0.01366582  1.02361828  1.        ],-0.003334183999790633
226,[0 0 0 0 0 0 1],[-0.13939757  0.01354653  1.02361873  1.        ],-0.003453473148955565
227,[0 0 0 0 0 0 1],[-0.1393965   0.01345404  1.0236191   1.        ],-0.003545959245499041
228,[0 0 0 0 0 0 1],[-0.13939554  0.01339705  1.02361945  1.        ],-0.0036029474411374187
229,[0 0 0 0 0 0 1],[-0.13939464  0.01336017  1.02361982  1.        ],-0.003639830093431745
230,[0 0 0 0 0 0 1],[-0.13939379  0.01333147  1.02362022  1.        ],-0.003668529646621255
