step,action,eef_pos,drawer_pos 
143,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13955024 -0.28159331  1.02363343  1.        ],-0.29859330603915774
144,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13955077 -0.28494789  1.02363384  1.        ],-0.30194789083190055
145,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13955127 -0.28830359  1.02363429  1.        ],-0.3053035866175784
146,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13955173 -0.29166051  1.02363475  1.        ],-0.30866051393149896
147,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13955218 -0.29501879  1.02363524  1.        ],-0.3120187935361584
148,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.1395526  -0.29837855  1.02363574  1.        ],-0.3153785457365664
149,[ 0.  -0.3  0.   0.   0.   0.   1. ],[-0.13955302 -0.30173989  1.02363625  1.        ],-0.3187398895847677
150,[0 0 0 0 0 0 1],[-0.13956845 -0.30381554  1.02363539  1.        ],-0.32081553635357074
151,[0 0 0 0 0 0 1],[-0.13955853 -0.3044598   1.02362759  1.        ],-0.32145980276551167
152,[0 0 0 0 0 0 1],[-0.13955151 -0.30449491  1.02362354  1.        ],-0.3214949133957385
153,[0 0 0 0 0 0 1],[-0.13955191 -0.30444292  1.02362314  1.        ],-0.32144292455648305
154,[0 0 0 0 0 0 1],[-0.13955354 -0.30438487  1.0236231   1.        ],-0.321384866005831
155,[0 0 0 0 0 0 1],[-0.13955507 -0.30432923  1.02362322  1.        ],-0.32132922992558693
156,[0 0 0 0 0 0 1],[-0.13955629 -0.30427434  1.02362337  1.        ],-0.32127433727392785
157,[0 0 0 0 0 0 1],[-0.13955726 -0.30421926  1.02362348  1.        ],-0.3212192550059103
158,[0 0 0 0 0 0 1],[-0.13955824 -0.30415875  1.02362343  1.        ],-0.3211587529247026
159,[0 0 0 0 0 0 1],[-0.13955927 -0.30409353  1.02362319  1.        ],-0.3210935308112159
160,[0 0 0 0 0 0 1],[-0.13956007 -0.30402512  1.02362293  1.        ],-0.3210251184281924
161,[0 0 0 0 0 0 1],[-0.13956066 -0.303952    1.02362264  1.        ],-0.32095200001249297
162,[0 0 0 0 0 0 1],[-0.13956123 -0.30387643  1.02362227  1.        ],-0.3208764326744388
163,[0 0 0 0 0 0 1],[-0.13956182 -0.30380205  1.02362183  1.        ],-0.3208020474228497
164,[0 0 0 0 0 0 1],[-0.13956246 -0.30373115  1.02362134  1.        ],-0.32073115226621174
165,[0 0 0 0 0 0 1],[-0.13956314 -0.30366501  1.02362081  1.        ],-0.3206650109993201
166,[0 0 0 0 0 0 1],[-0.13956388 -0.30360416  1.02362026  1.        ],-0.3206041567555009
167,[0 0 0 0 0 0 1],[-0.13956465 -0.30354861  1.0236197   1.        ],-0.3205486070372975
168,[0 0 0 0 0 0 1],[-0.13956543 -0.30349793  1.02361914  1.        ],-0.3204979297697973
169,[0 0 0 0 0 0 1],[-0.13956621 -0.30345208  1.02361858  1.        ],-0.3204520803627563
170,[0 0 0 0 0 0 1],[-0.13956696 -0.30341084  1.02361805  1.        ],-0.32041084191021263
171,[0 0 0 0 0 0 1],[-0.13956768 -0.30337353  1.02361753  1.        ],-0.32037353418800646
172,[0 0 0 0 0 0 1],[-0.13956836 -0.30333933  1.02361703  1.        ],-0.32033932662670916
173,[0 0 0 0 0 0 1],[-0.13956899 -0.30330739  1.02361656  1.        ],-0.3203073890340755
174,[0 0 0 0 0 0 1],[-0.13956957 -0.30327697  1.02361611  1.        ],-0.32027696807618034
175,[0 0 0 0 0 0 1],[-0.13957009 -0.30324791  1.02361568  1.        ],-0.3202479082603469
176,[0 0 0 0 0 0 1],[-0.13957054 -0.30322074  1.02361525  1.        ],-0.3202207381735014
177,[0 0 0 0 0 0 1],[-0.13957094 -0.30319546  1.02361483  1.        ],-0.32019545593239745
178,[0 0 0 0 0 0 1],[-0.13957129 -0.30317188  1.02361441  1.        ],-0.3201718807048548
179,[0 0 0 0 0 0 1],[-0.13957158 -0.30314988  1.023614    1.        ],-0.32014987662481303
180,[0 0 0 0 0 0 1],[-0.13957183 -0.30312934  1.02361359  1.        ],-0.3201293429061469
181,[0 0 0 0 0 0 1],[-0.13957204 -0.3031102   1.02361318  1.        ],-0.3201102014653986
182,[0 0 0 0 0 0 1],[-0.13957222 -0.30309239  1.02361278  1.        ],-0.32009238697200987
183,[0 0 0 0 0 0 1],[-0.13957237 -0.30307584  1.02361237  1.        ],-0.32007583940958445
184,[0 0 0 0 0 0 1],[-0.13957249 -0.3030605   1.02361197  1.        ],-0.32006049896998856
185,[0 0 0 0 0 0 1],[-0.13957259 -0.3030463   1.02361157  1.        ],-0.32004630298399767
186,[0 0 0 0 0 0 1],[-0.13957268 -0.30303314  1.02361118  1.        ],-0.32003313601861866
187,[0 0 0 0 0 0 1],[-0.13957275 -0.30302069  1.02361079  1.        ],-0.3200206927815963
188,[0 0 0 0 0 0 1],[-0.1395728  -0.30300873  1.02361041  1.        ],-0.3200087304616898
189,[0 0 0 0 0 0 1],[-0.13957285 -0.30299716  1.02361004  1.        ],-0.31999715744864143
190,[0 0 0 0 0 0 1],[-0.13957288 -0.30298597  1.02360968  1.        ],-0.3199859701837834
191,[0 0 0 0 0 0 1],[-0.13957291 -0.30297518  1.02360933  1.        ],-0.31997517648958707
192,[0 0 0 0 0 0 1],[-0.13957292 -0.30296478  1.02360899  1.        ],-0.3199647751737969
193,[0 0 0 0 0 0 1],[-0.13957292 -0.30295475  1.02360866  1.        ],-0.3199547530260004
194,[0 0 0 0 0 0 1],[-0.13957291 -0.30294509  1.02360833  1.        ],-0.3199450871321853
195,[0 0 0 0 0 0 1],[-0.13957289 -0.30293575  1.02360802  1.        ],-0.3199357484376446
196,[0 0 0 0 0 0 1],[-0.13957286 -0.30292671  1.02360771  1.        ],-0.3199267051607801
197,[0 0 0 0 0 0 1],[-0.13957282 -0.30291793  1.02360741  1.        ],-0.31991792559361487
198,[0 0 0 0 0 0 1],[-0.13957276 -0.30290938  1.02360712  1.        ],-0.31990938017243636
199,[0 0 0 0 0 0 1],[-0.1395727  -0.30290104  1.02360683  1.        ],-0.31990104284318766
200,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13959417 -0.30159087  1.02361132  1.        ],-0.31859087104357303
201,[0.  0.3 0.  0.  0.  0.  1. ],[-0.1396156  -0.29926763  1.02362204  1.        ],-0.3162676348466329
202,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13962426 -0.29662756  1.02362751  1.        ],-0.3136275624850426
203,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13962942 -0.2937544   1.02362989  1.        ],-0.3107543984499286
204,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13963473 -0.29071654  1.02363166  1.        ],-0.30771654107062596
205,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13964005 -0.28756841  1.02363305  1.        ],-0.30456840848877365
206,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13964521 -0.2843452   1.02363422  1.        ],-0.30134519540352106
207,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13965011 -0.28107112  1.02363533  1.        ],-0.29807112391460583
208,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13965473 -0.27776323  1.02363644  1.        ],-0.2947632306454805
209,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13965907 -0.27443353  1.0236376   1.        ],-0.2914335309985134
210,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13966317 -0.27109048  1.02363885  1.        ],-0.28809047609320737
211,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13966705 -0.26773999  1.02364019  1.        ],-0.2847399930349961
212,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13967076 -0.26438623  1.02364162  1.        ],-0.28138623268171464
213,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13967434 -0.2610321   1.02364314  1.        ],-0.27803210300524406
214,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13967781 -0.25767965  1.02364474  1.        ],-0.2746796454620051
215,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13968121 -0.2543303   1.0236464   1.        ],-0.27133029779275847
216,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13968455 -0.25098508  1.02364811  1.        ],-0.2679850758344512
217,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13968786 -0.2476447   1.02364986  1.        ],-0.26464469836925897
218,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13969113 -0.24430967  1.02365164  1.        ],-0.2613096724848986
219,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13969439 -0.24098035  1.02365344  1.        ],-0.25798035196849134
220,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13969762 -0.23765698  1.02365525  1.        ],-0.25465697748186433
221,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13970084 -0.2343397   1.02365706  1.        ],-0.25133970459540445
222,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13970405 -0.23102862  1.02365886  1.        ],-0.24802862383530583
223,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13970724 -0.22772378  1.02366066  1.        ],-0.24472377546228163
224,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13971041 -0.22442516  1.02366245  1.        ],-0.24142516074376513
225,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13971356 -0.22113275  1.02366421  1.        ],-0.23813275083672125
226,[0.  0.3 0.  0.  0.  0.  1. ],[-0.1397167  -0.21784649  1.02366596  1.        ],-0.23484649396916374
227,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13971982 -0.21456632  1.02366768  1.        ],-0.23156632132566296
228,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13972291 -0.21129215  1.02366938  1.        ],-0.22829215186439988
229,[0.  0.3 0.  0.  0.  0.  1. ],[-0.139726   -0.2080239   1.02367105  1.        ],-0.22502389618748941
230,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13972906 -0.20476146  1.02367269  1.        ],-0.22176145952786874
231,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13973212 -0.20150474  1.0236743   1.        ],-0.21850474388872088
232,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13973516 -0.19825365  1.02367588  1.        ],-0.21525364936385272
233,[0.  0.3 0.  0.  0.  0.  1. ],[-0.1397382  -0.19500807  1.02367742  1.        ],-0.21200807467228633
234,[0.  0.3 0.  0.  0.  0.  1. ],[-0.13974123 -0.19176792  1.02367892  1.        ],-0.2087679169527138
